,zip_code,latitude,longitude,city,state,county,digit
12715,29678,34.715678999999994,-82.963909,Seneca,SC,Oconee,2
12716,29679,34.607898,-82.93966800000001,Seneca,SC,Oconee,2
12717,29680,34.696203000000004,-82.289322,Simpsonville,SC,Greenville,2
12718,29681,34.80728,-82.266734,Simpsonville,SC,Greenville,2
12719,29682,34.837185999999996,-82.825562,Six Mile,SC,Pickens,2
12720,29683,35.028923999999996,-82.494068,Slater,SC,Greenville,2
12721,29684,34.409132,-82.660151,Starr,SC,Anderson,2
12722,29685,34.977961,-82.784806,Sunset,SC,Pickens,2
12723,29686,34.897008,-83.037482,Tamassee,SC,Oconee,2
12724,29687,34.970915000000005,-82.38156,Taylors,SC,Greenville,2
12725,29688,35.047684000000004,-82.353038,Tigerville,SC,Greenville,2
12726,29689,34.533588,-82.892202,Townville,SC,Anderson,2
